Lemma	Wordlist	Rank	SFI	U	D	F	Rank	Coverage	Cumulative					
the	1 - NGSL	1	87.847	"60,909.90"	0.9914	"17,014,852"	1	0.0622	0.06					
be	1 - NGSL	2	86.864	"48,575.13"	0.9924	"13,558,284"	2	0.0496	0.11					
and	1 - NGSL	3	84.884	"30,788.88"	0.9983	"8,548,938"	3	0.0312	0.14					
of	1 - NGSL	4	84.789	"30,125.96"	0.9790	"8,508,792"	4	0.0311	0.17					
to	1 - NGSL	5	84.665	"29,271.98"	0.9969	"8,137,313"	5	0.0297	0.20					
a	1 - NGSL	6	84.452	"27,871.88"	0.9981	"7,740,201"	6	0.0283	0.23					
in	1 - NGSL	7	83.252	"21,142.48"	0.9900	"5,913,485"	7	0.0216	0.25					
have	1 - NGSL	8	81.526	"14,209.56"	0.9873	"3,983,887"	8	0.0146	0.27					
it	1 - NGSL	9	81.390	"13,772.12"	0.9723	"3,913,531"	10	0.0143	0.30					
you	1 - NGSL	10	81.075	"12,809.87"	0.8942	"3,916,247"	9	0.0143	0.28					
he	1 - NGSL	11	80.421	"11,017.11"	0.9213	"3,280,236"	11	0.0120	0.31					
for	1 - NGSL	12	80.011	"10,025.06"	0.9917	"2,799,664"	12	0.0102	0.32					
they	1 - NGSL	13	79.896	"9,763.81"	0.9824	"2,749,438"	13	0.0100	0.33					
not	1 - NGSL	14	79.774	"9,493.59"	0.9694	"2,704,977"	14	0.0099	0.34					
that	1 - NGSL	15	79.372	"8,652.85"	0.9489	"2,512,327"	15	0.0092	0.35					
we	1 - NGSL	16	79.243	"8,400.72"	0.9335	"2,474,047"	16	0.0090	0.36					
on	1 - NGSL	17	78.900	"7,763.02"	0.9989	"2,154,241"	18	0.0079	0.37					
with	1 - NGSL	18	78.681	"7,381.49"	0.9954	"2,054,699"	19	0.0075	0.38					
this	1 - NGSL	19	78.453	"7,002.53"	0.9882	"1,961,813"	21	0.0072	0.40					
I	1 - NGSL	20	78.338	"6,820.00"	0.7845	"2,356,152"	17	0.0086	0.37					
do	1 - NGSL	21	78.327	"6,802.26"	0.9172	"2,034,865"	20	0.0074	0.39					
as	1 - NGSL	22	78.291	"6,746.80"	0.9898	"1,887,266"	22	0.0069	0.40					
at	1 - NGSL	23	77.459	"5,570.29"	0.9976	"1,547,509"	24	0.0057	0.41					
she	1 - NGSL	24	77.155	"5,194.53"	0.7893	"1,762,927"	23	0.0064	0.41					
but	1 - NGSL	25	77.065	"5,087.01"	0.9788	"1,437,156"	25	0.0053	0.42					
from	1 - NGSL	26	76.626	"4,598.39"	0.9887	"1,287,586"	26	0.0047	0.42					
by	1 - NGSL	27	76.357	"4,322.55"	0.9468	"1,257,064"	27	0.0046	0.43					
will	1 - NGSL	28	76.227	"4,195.02"	0.9698	"1,194,811"	28	0.0044	0.43					
or	1 - NGSL	29	76.085	"4,060.06"	0.9791	"1,146,749"	29	0.0042	0.44					
